走向,zou3 xiang4
留校,liu2 xiao4
留成,liu2 cheng2
留恋,liu2 lian4
留意,liu2 yi4
留情,liu2 qing2
留念,liu2 nian4
留心,liu2 xin1
留步,liu2 bu4
留洋,liu2 yang2
留待,liu2 dai4
留影,liu2 ying3
留海,liu2 hai3
留班,liu2 ban1
留宿,liu2 su4
留客,liu2 ke4
留用,liu2 yong4
留守,liu2 shou3
留白,liu2 bai2
留学,liu2 xue2
留神,liu2 shen2
留存,liu2 cun2
留种,liu2 zhong3
留坝,Liu2 ba4
留堂,liu2 tang2
留园,Liu2 Yuan2
留别,liu2 bie2
留传,liu2 chuan2
留作,liu2 zuo4
留住,liu2 zhu4
留任,liu2 ren4
留下,liu2 xia4
留空,liu2 kong1
开杆,kai1 gan3
畔援,pan4 yuan2
开业,kai1 ye4
开枪,kai1 qiang1
开机,kai1 ji1
创造,chuang4 zao4
留级,liu2 ji2
畏途,wei4 tu2
留给,liu2 gei3
畏罪,wei4 zui4
留置,liu2 zhi4
畏缩,wei4 suo1
留职,liu2 zhi2
畏惧,wei4 ju4
畏忌,wei4 ji4
畏友,wei4 you3
开步,kai1 bu4
开水,kai1 shui3
留言,liu2 yan2
界首,Jie4 shou3
界面,jie4 mian4
界限,jie4 xian4
界线,jie4 xian4
界碑,jie4 bei1
界河,jie4 he2
界标,jie4 biao1
界尺,jie4 chi3
界定,jie4 ding4
界别,jie4 bie2
留话,liu2 hua4
界乎,jie4 hu1
创办,chuang4 ban4
畋猎,tian2 lie4
创议,chuang4 yi4
创设,chuang4 she4
开江,Kai1 jiang1
开河,kai1 he2
创见,chuang4 jian4
创制,chuang4 zhi4
创举,chuang4 ju3
开消,kai1 xiao1
开涮,kai1 shuan4
甾酮,zai1 tong2
开源,kai1 yuan2
创立,chuang4 li4
创痛,chuang1 tong4
开溜,kai1 liu1
开满,kai1 man3
开演,kai1 yan3
留连,liu2 lian2
留遗,liu2 yi2
男风,nan2 feng1
男双,nan2 shuang1
男装,nan2 zhuang1
男色,nan2 se4
留都,liu2 du1
男童,nan2 tong2
男的,nan2 de5
男生,nan2 sheng1
男爵,nan2 jue2
留医,liu2 yi1
男根,nan2 gen1
留针,liu2 zhen1
男星,nan2 xing1
男方,nan2 fang1
男排,nan2 pai2
留门,liu2 men2
留难,liu2 nan4
留题,liu2 ti2
留饭,liu2 fan4
留饮,liu2 yin3
留驻,liu2 zhu4
留鸟,liu2 niao3
男性,nan2 xing4
开火,kai1 huo3
男厕,nan2 ce4
男巫,nan2 wu1
畚斗,ben3 dou3
男工,nan2 gong1
畚箕,ben3 ji1
男家,nan2 jia1
开灯,kai1 deng1
畛域,zhen3 yu4
创业,chuang4 ye4
男孩,nan2 hai2
开炉,kai1 lu2
畜力,chu4 li4
畜栏,chu4 lan2
畜牧,xu4 mu4
畜牲,chu4 sheng1
畜生,chu4 sheng5
男子,nan2 zi3
男婴,nan2 ying1
畜肥,chu4 fei2
男娃,nan2 wa2
男妓,nan2 ji4
畜类,chu4 lei4
创新,chuang4 xin1
创收,chuang4 shou1
开犁,kai1 li2
男女,nan2 nu:3
男士,nan2 shi4
创意,chuang4 yi4
男单,nan2 dan1
男同,nan2 tong2
男友,nan2 you3
毕升,Bi4 Sheng1
男儿,nan2 er2
毕命,bi4 ming4
毕摩,bi4 mo2
毕业,bi4 ye4
毕生,bi4 sheng1
毕竟,bi4 jing4
毕节,Bi4 jie2
男人,nan2 ren2
毕肖,bi4 xiao4
开球,kai1 qiu2
创建,chuang4 jian4
申饬,shen1 chi4
申领,shen1 ling3
申雪,shen1 xue3
申述,shen1 shu4
申辩,shen1 bian4
申办,shen1 ban4
申购,shen1 gou4
申谢,shen1 xie4
申论,shen1 lun4
毕兹,bi4 zi1
毕设,bi4 she4
开疆,kai1 jiang1
申请,shen1 qing3
申说,shen1 shuo1
开发,kai1 fa1
申诉,shen1 su4
申讨,shen1 tao3
申言,shen1 yan2
申申,shen1 shen1
申理,shen1 li3
申猴,shen1 hou2
申状,shen1 zhuang4
申根,Shen1 gen1
申曲,shen1 qu3
申时,shen1 shi2
申明,shen1 ming2
申斥,shen1 chi4
略作,lu:e4 zuo4
申扎,Shen1 zha1
申屠,Shen1 tu2
申奏,shen1 zou4
略去,lu:e4 qu4
申报,shen1 bao4
申城,Shen1 cheng2
略图,lu:e4 tu2
申冤,shen1 yuan1
申令,shen1 ling4
略夺,lu:e4 duo2
开皌,kai1 mo4
创始,chuang4 shi3
甲鱼,jia3 yu2
略字,lu:e4 zi4
略带,lu:e4 dai4
甲骨,jia3 gu3
甲铠,jia3 kai3
甲醛,jia3 quan2
甲醚,jia3 mi2
略微,lu:e4 wei1
甲醇,jia3 chun2
甲酸,jia3 suan1
甲酚,jia3 fen1
甲辰,jia3 chen2
略为,lu:e4 wei2
甲虫,jia3 chong2
甲苯,jia3 ben3
略略,lu:e4 lu:e4
甲胺,jia3 an4
甲胄,jia3 zhou4
甲肝,jia3 gan1
甲紫,jia3 zi3
略码,lu:e4 ma3
甲级,jia3 ji2
甲等,jia3 deng3
甲第,jia3 di4
略称,lu:e4 cheng1
略举,lu:e4 ju3
略语,lu:e4 yu3
略读,lu:e4 du2
甲申,jia3 shen1
略过,lu:e4 guo4
略释,lu:e4 shi4
略阳,Lu:e4 yang2
开盘,kai1 pan2
甲状,jia3 zhuang4
甲烷,jia3 wan2
甲流,jia3 liu2
创口,chuang1 kou3
创汇,chuang4 hui4
创利,chuang4 li4
番客,fan1 ke4
番椒,fan1 jiao1
番瓜,fan1 gua1
番番,fan1 fan1
番禺,Pan1 yu2
甲壳,jia3 qiao4
甲板,jia3 ban3
番茄,fan1 qie2
甲方,jia3 fang1
甲戌,jia3 xu1
甲寅,jia3 yin2
甲子,jia3 zi3
番菜,fan1 cai4
番薯,fan1 shu3
甲基,jia3 ji1
番号,fan1 hao4
番路,Fan1 lu4
甲型,jia3 xing2
番邦,fan1 bang1
甲午,jia3 wu3
甲冑,jia3 zhou4
番麦,fan1 mai4
甲仙,Jia3 xian1
甲亢,jia3 kang4
开眼,kai1 yan3
甲乙,jia3 yi3
创刊,chuang4 kan1
由头,you2 tou5
由衷,you2 zhong1
画像,hua4 xiang4
由着,you2 zhe5
画儿,hua4 r5
由此,you2 ci3
由旬,you2 xun2
由于,you2 yu2
画册,hua4 ce4
由径,you2 jing4
由来,you2 lai2
画卷,hua4 juan3
创优,chuang4 you1
田鼠,tian2 shu3
田鸡,tian2 ji1
画圆,hua4 yuan2
田阳,Tian2 yang2
田陌,tian2 mo4
画图,hua4 tu2
田间,tian2 jian1
画报,hua4 bao4
田野,tian2 ye3
田赛,tian2 sai4
田赋,tian2 fu4
田螺,tian2 luo2
田舍,tian2 she4
画坛,hua4 tan2
画室,hua4 shi4
田亩,tian2 mu3
田产,tian2 chan3
田猎,tian2 lie4
画家,hua4 jia1
田营,Tian2 ying2
田湾,Tian2 wan1
田汉,Tian2 Han4
画展,hua4 zhan3
田林,Tian2 lin2
画布,hua4 bu4
田东,Tian2 dong1
田文,Tian2 wen2
画幅,hua4 fu2
画廊,hua4 lang2
画押,hua4 ya1
田径,tian2 jing4
田役,tian2 yi4
画架,hua4 jia4
田尾,Tian2 wei3
画框,hua4 kuang4
田寮,Tian2 liao2
画毡,hua4 zhan1
画法,hua4 fa3
田埂,tian2 geng3
田地,tian2 di4
田土,tian2 tu3
田亮,Tian2 Liang4
画皮,hua4 pi2
画笔,hua4 bi3
田中,Tian2 zhong1
田七,tian2 qi1
开蒙,kai1 meng2
开炮,kai1 pao4
开矿,kai1 kuang4
开票,kai1 piao4
开禁,kai1 jin4
甬道,yong3 dao4
甬路,yong3 lu4
甬江,Yong3 jiang1
创伤,chuang1 shang1
开福,Kai1 fu2
开窍,kai1 qiao4
创作,chuang4 zuo4
甪端,Lu4 duan1
开立,kai1 li4
甩头,shuai3 tou2
画舫,hua4 fang3
甩开,shuai3 kai1
甩钟,shuai3 zhong1
甩远,shuai3 yuan3
甩车,shuai3 che1
甩卖,shuai3 mai4
画轴,hua4 zhou2
画面,hua4 mian4
甩掉,shuai3 diao4
开站,kai1 zhan4
开端,kai1 duan1
甩手,shuai3 shou3
甩尾,shuai3 wei3
畲族,She1 zu2
甩动,shuai3 dong4
甩上,shuai3 shang4
创世,chuang4 shi4
畲乡,yu2 xiang1
用餐,yong4 can1
用饭,yong4 fan4
用项,yong4 xiang4
用间,yong4 jian4
用钱,yong4 qian5
用量,yong4 liang4
用途,yong4 tu2
用语,yong4 yu3
用词,yong4 ci2
用处,yong4 chu5
用膳,yong4 shan4
开笔,kai1 bi3
用尽,yong4 jin4
用法,yong4 fa3
创下,chuang4 xia4
魆魆,xu4 xu4
异事,yi4 shi4
异人,yi4 ren2
异像,yi4 xiang4
异化,yi4 hua4
异卵,yi4 luan3
异同,yi4 tong2
异国,yi4 guo2
用户,yong4 hu4
用意,yong4 yi4
异地,yi4 di4
用心,yong4 xin1
异域,yi4 yu4
异己,yi4 ji3
异常,yi4 chang2
用度,yong4 du4
用完,yong4 wan2
用字,yong4 zi4
用场,yong4 chang3
用品,yong4 pin3
用功,yong4 gong1
用力,yong4 li4
用具,yong4 ju4
用光,yong4 guang1
异形,yi4 xing2
用来,yong4 lai2
异彩,yi4 cai3
用作,yong4 zuo4
用以,yong4 yi3
异心,yi4 xin1
用人,yong4 ren2
用于,yong4 yu2
异性,yi4 xing4
异才,yi4 cai2
点滴,dian3 di1
苏醒,su1 xing3
异教,yi4 jiao4
异文,yi4 wen2
异族,yi4 zu2
苏仙,Su1 xian1
不见,bu4 jian4
甥女,sheng1 nu:3
点火,dian3 huo3
点燃,dian3 ran2
产院,chan3 yuan4
产销,chan3 xiao1
产钳,chan3 qian2
异构,yi4 gou4
产量,chan3 liang4
产道,chan3 dao4
异样,yi4 yang4
异步,yi4 bu4
产制,chan3 zhi4
产能,chan3 neng2
异母,yi4 mu3
异焉,yi4 yan1
异父,yi4 fu4
产粮,chan3 liang2
产程,chan3 cheng2
产科,chan3 ke1
产生,chan3 sheng1
产物,chan3 wu4
异物,yi4 wu4
产权,chan3 quan2
产检,chan3 jian3
异状,yi4 zhuang4
异种,yi4 zhong3
异端,yi4 duan1
异义,yi4 yi4
产业,chan3 ye4
产期,chan3 qi1
产房,chan3 fang2
产后,chan3 hou4
产妇,chan3 fu4
产婆,chan3 po2
异能,yi4 neng2
产地,chan3 di4
异腈,yi4 jing1
异见,yi4 jian4
产品,chan3 pin3
产卵,chan3 luan3
产区,chan3 qu1
异言,yi4 yan2
产前,chan3 qian2
产儿,chan3 er2
产假,chan3 jia4
产值,chan3 zhi2
产仔,chan3 zi3
产下,chan3 xia4
开筵,kai1 yan2
割除,ge1 chu2
异说,yi4 shuo1
异议,yi4 yi4
异读,yi4 du2
生养,sheng1 yang3
生愿,sheng1 yuan4
异质,yi4 zhi4
生灵,sheng1 ling2
异邦,yi4 bang1
