char,pinyin,count
不,bu4,2020
县,xian4,1861
大,da4,1631
子,zi5,1540
人,ren2,1491
区,qu1,1251
一,yi1,1073
国,guo2,974
市,shi4,938
学,xue2,926
山,shan1,903
中,zhong1,891
地,di4,877
斯,si1,874
尔,er3,827
水,shui3,809
生,sheng1,794
心,xin1,791
儿,"r5,er2",740
无,wu2,729
自,zi4,714
马,ma3,703
头,tou2,700
天,tian1,694
性,xing4,672
拉,la1,658
家,jia1,655
动,dong4,643
海,hai3,639
有,you3,620
会,hui4,616
化,hua4,608
安,an1,605
克,ke4,600
机,ji1,593
西,xi1,592
行,xing2,591
气,qi4,573
公,gong1,568
法,fa3,566
金,jin1,563
电,dian4,559
体,ti3,554
高,gao1,551
小,xiao3,550
物,wu4,544
分,"fen1,fen4",544
花,hua1,539
发,"fa4,fa1",536
上,shang4,530
平,ping2,521
利,li4,520
事,"shi4,shi5",520
特,te4,515
德,de2,513
里,li3,505
力,li4,505
文,wen2,500
口,kou3,500
出,chu1,499
面,mian4,499
手,shou3,492
南,nan2,488
长,chang2,488
三,san1,487
道,dao4,485
理,li3,485
白,bai2,485
亚,ya4,483
开,kai1,481
下,xia4,481
新,xin1,476
合,he2,476
之,zhi1,476
数,shu4,475
语,yu3,474
多,duo1,472
城,cheng2,464
门,men2,459
主,zhu3,456
时,shi2,442
风,feng1,441
车,che1,437
石,shi2,437
日,ri4,437
阿,a1,434
成,cheng2,430
者,zhe3,429
州,zhou1,425
巴,ba1,424
通,tong1,417
工,gong1,417
罗,luo2,413
定,ding4,411
族,zu2,409
东,dong1,406
打,da3,406
器,qi4,405
义,yi4,404
神,shen2,401
外,wai4,400
光,guang1,392
明,ming2,388
民,min2,388
可,ke3,385
阳,yang2,379
病,bing4,378
重,zhong4,377
江,jiang1,377
加,jia1,376
流,liu2,373
作,zuo4,370
河,he2,368
空,kong1,368
相,xiang1,368
方,fang1,365
眼,yan3,365
经,jing1,364
路,lu4,362
，,",",361
布,bu4,359
线,xian4,359
乡,xiang1,357
字,zi4,357
名,ming2,355
台,tai2,354
用,yong4,348
点,dian3,348
治,zhi4,348
龙,long2,347
意,"yi4,yi5",345
后,hou4,345
本,ben3,343
科,ke1,342
音,yin1,341
火,huo3,341
来,"lai2,lai5",340
林,lin2,339
得,de2,339
年,nian2,339
业,ye4,338
书,shu1,335
老,lao3,335
色,se4,335
交,jiao1,331
同,tong2,330
北,bei3,330
和,he2,329
基,ji1,328
报,bao4,328
美,mei3,325
情,qing2,323
二,er4,322
格,ge2,318
言,yan2,315
尼,ni2,314
管,guan3,312
反,fan3,311
制,zhi4,309
星,xing1,306
前,qian2,304
度,du4,302
对,dui4,301
兰,lan2,300
正,zheng4,300
传,chuan2,298
黄,huang2,298
然,ran2,298
清,qing1,297
乐,le4,297
场,chang3,296
转,zhuan4,293
信,xin4,292
世,shi4,291
古,gu3,290
达,da2,288
代,dai4,287
网,wang3,287
词,ci2,286
关,guan1,286
量,liang4,286
过,guo4,286
员,yuan2,286
红,hong2,284
全,quan2,282
身,shen1,281
比,bi3,279
鱼,yu2,279
军,jun1,279
战,zhan4,277
教,jiao4,277
运,yun4,274
如,ru2,272
木,mu4,272
声,sheng1,272
卡,ka3,271
角,jiao3,271
皮,pi2,269
内,nei4,269
变,bian4,267
起,qi3,267
节,jie2,266
土,tu3,265
为,wei2,265
球,qiu2,265
保,bao3,264
好,hao3,263
原,yuan2,263
死,si3,262
单,dan1,260
士,shi4,260
解,jie3,259
式,shi4,259
以,yi3,257
武,wu3,257
波,bo1,257
目,mu4,256
月,yue4,255
血,xue4,255
见,jian4,255
女,nu:3,254
形,xing2,254
回,hui2,253
应,ying4,253
而,er2,253
政,zheng4,251
包,bao1,249
岛,dao3,249
纳,na4,247
产,chan3,247
华,hua2,247
夫,fu1,246
实,shi2,246
王,wang2,245
太,tai4,244
四,si4,243
酸,suan1,243
热,re4,242
结,jie2,241
间,jian1,240
油,you2,240
联,lian2,240
百,bai3,239
期,qi1,238
当,dang1,238
酒,jiu3,238
万,wan4,238
能,neng2,237
话,hua4,237
连,lian2,237
放,fang4,237
号,hao4,236
草,cao3,236
知,zhi1,236
香,xiang1,236
干,gan4,235
青,qing1,234
毒,du2,232
难,nan4,232
素,su4,232
入,ru4,231
米,mi3,231
维,wei2,231
宁,ning2,231
调,"tiao2,diao4",230
说,shuo1,228
五,wu3,228
进,jin4,226
计,ji4,226
部,bu4,225
核,he2,224
半,ban4,224
表,biao3,224
集,ji2,223
品,pin3,222
所,suo3,220
板,ban3,220
失,shi1,219
射,she4,219
立,li4,219
约,yue1,219
系,xi4,218
命,ming4,217
落,luo4,216
非,fei1,216
位,wei4,215
权,quan2,213
爱,ai4,211
沙,sha1,211
带,dai4,210
食,shi2,210
哈,ha1,209
・,·,209
商,shang1,208
塔,ta3,207
精,jing1,207
骨,gu3,207
论,lun4,207
边,bian1,207
黑,hei1,206
图,tu2,206
视,shi4,206
密,mi4,205
八,ba1,204
活,huo2,202
朝,chao2,201
官,guan1,200
镇,zhen4,199
质,zhi4,198
复,fu4,197
普,pu3,197
司,si1,196
满,man3,196
提,ti2,195
牛,niu2,195
院,yuan4,195
指,zhi3,194
元,yuan2,194
源,yuan2,192
收,shou1,192
双,shuang1,191
标,biao1,191
兴,"xing4,xing1",191
记,ji4,190
十,shi2,190
务,wu4,190
层,ceng2,190
足,zu2,189
毛,mao2,189
汉,han4,189
铁,tie3,189
菜,cai4,189
洋,yang2,188
共,gong4,188
接,jie1,187
云,yun2,187
弹,"dan4,tan2",185
走,zou3,185
条,tiao2,185
游,you2,184
远,yuan3,184
福,fu2,184
统,tong3,183
曲,qu1,183
在,zai4,182
强,"qiang2,jiang4",182
界,jie4,182
直,zhi2,182
处,chu4,182
证,zheng4,182
广,guang3,181
装,zhuang1,181
吉,ji2,180
程,cheng2,180
脚,jiao3,180
客,ke4,180
肉,rou4,180
于,yu2,179
倒,dao3,179
苦,ku3,179
受,shou4,179
药,yao4,179
症,zheng4,179
步,bu4,178
环,huan2,178
的,de5,176
盘,pan2,176
湖,hu2,176
脑,nao3,176
资,zi1,176
着,zhuo2,175
圣,sheng4,175
片,pian4,174
术,shu4,174
座,zuo4,174
服,fu2,173
萨,sa4,172
剂,ji4,172
周,zhou1,171
印,yin4,171
影,ying3,171
防,fang2,171
李,"li5,li3",170
房,fang2,170
树,shu4,170
伯,bo2,170
飞,fei1,170
货,huo4,169
思,si1,168
根,gen1,168
临,lin2,168
果,guo3,168
异,yi4,167
师,shi1,166
易,yi4,166
细,xi4,166
奇,qi2,166
真,zhen1,166
费,fei4,166
玉,yu4,165
感,gan3,165
离,li2,165
料,liao4,163
斗,dou4,163
别,"bie2,bie4",163
价,jia4,163
级,ji2,162
千,qian1,162
局,ju2,162
鸡,ji1,162
母,mu3,162
团,tuan2,161
托,tuo1,161
兵,bing1,161
衣,yi1,160
切,qie1,160
微,wei1,159
春,chun1,158
恶,e4,158
威,wei1,158
乌,wu1,158
其,qi2,157
港,gang3,157
到,dao4,157
吃,chi1,157
雅,ya3,157
麻,ma5,157
向,xiang4,156
压,ya1,156
瓦,wa3,156
组,zu3,156
断,duan4,156
银,yin2,156
航,hang2,155
类,lei4,155
破,po4,154
社,she4,154
深,shen1,154
甲,jia3,154
总,zong3,153
底,di3,153
假,jia4,153
际,ji4,153
宝,bao3,153
叶,ye4,153
耳,er3,153
亲,qin1,153
苏,su1,153
要,yao4,152
首,shou3,152
导,dao3,152
取,qu3,152
轮,lun2,152
灵,ling2,151
松,song1,150
雷,lei2,150
川,chuan1,150
杀,sha1,149
常,chang2,149
张,zhang1,149
温,wen1,149
党,dang3,148
独,du2,148
蒙,meng2,148
博,bo2,148
丁,ding1,147
种,zhong3,147
散,san4,147
伤,shang1,147
两,liang3,146
嘴,zui3,146
击,ji1,146
船,chuan2,146
冰,bing1,146
先,xian1,145
赛,sai4,145
田,tian2,145
笔,bi3,145
率,lu:4,145
群,qun2,144
塞,se4,143
养,yang3,143
虫,chong2,143
件,jian4,143
都,du1,143
现,xian4,143
史,shi3,143
伊,yi1,142
次,ci4,142
顺,shun4,142
任,ren4,142
居,ju1,142
营,ying2,141
型,xing2,141
卫,wei4,140
望,wang4,140
观,guan1,140
横,heng4,139
奥,ao4,139
济,ji4,138
劳,lao2,138
烟,yan1,138
虎,hu3,138
议,yi4,138
看,kan4,137
雨,yu3,137
英,ying1,137
豆,dou4,137
绝,jue2,137
没,mei2,137
夜,ye4,137
修,xiu1,137
令,"ling4,ling2",136
乱,luan4,136
推,tui1,136
索,suo3,136
未,wei4,136
洛,luo4,135
问,wen4,135
刀,dao1,135
查,cha2,135
列,lie4,135
识,"shi2,shi5",135
鲁,lu3,135
钱,qian2,134
胡,hu2,134
投,tou2,134
勒,le4,134
罪,zui4,134
户,hu4,134
富,fu4,134
脱,tuo1,134
去,qu4,133
票,piao4,133
闻,wen2,133
织,zhi1,133
仁,ren2,132
容,rong2,132
积,ji1,132
礼,li3,132
牙,ya2,132
藏,zang4,132
室,shi4,131
尾,wei3,131
等,deng3,131
状,zhuang4,130
功,gong1,130
听,ting1,130
农,nong2,129
余,yu2,129
争,zheng1,129
队,dui4,129
造,zao4,129
佛,"fu2,fo2",128
委,wei3,128
低,di1,128
派,pai4,128
了,le5,127
建,jian4,127
留,liu2,127
丝,si1,127
案,an4,127
医,yi1,127
露,lu4,127
照,zhao4,127
旧,jiu4,127
旗,qi2,127
洲,zhou1,126
鸟,niao3,126
极,ji2,126
灯,deng1,126
急,ji2,126
菌,jun1,126
纸,zhi3,126
消,xiao1,126
排,pai2,126
善,shan4,125
求,qiu2,125
因,yin1,125
想,xiang3,125
故,gu4,125
是,shi4,125
试,shi4,124
阴,yin1,124
班,ban1,124
差,"cha1,chai1",124
超,chao1,123
补,bu3,123
态,tai4,122
喜,xi3,122
笑,xiao4,122
顶,ding3,122
杂,za2,122
丹,dan1,121
永,yong3,121
摩,mo2,121
领,ling3,121
速,su4,121
个,"ge5,ge4",121
守,shou3,121
归,gui1,120
志,zhi4,120
野,ye3,120
雪,xue3,120
码,ma3,120
鬼,gui3,120
快,"kuai4,kuai5",119
存,cun2,119
糖,tang2,119
冷,leng3,119
良,liang2,119
尽,jin4,119
轻,qing1,119
软,ruan3,118
选,xuan3,118
护,hu4,118
六,liu4,118
住,zhu4,118
技,ji4,118
库,ku4,117
算,suan4,117
几,ji3,117
象,xiang4,116
势,shi4,116
冲,chong1,116
改,gai3,116
做,zuo4,116
贝,bei4,116
堂,tang2,115
泰,tai4,115
谷,gu3,115
脉,mai4,115
告,gao4,115
职,zhi2,115
值,zhi2,115
京,jing1,115
属,shu3,115
秋,qiu1,114
支,zhi1,114
洗,xi3,114
换,huan4,114
引,yin3,114
征,zheng1,114
款,kuan3,114
除,chu2,113
背,bei4,113
准,zhun3,113
欧,ou1,113
息,xi1,113
恩,en1,113
脸,lian3,113
套,tao4,113
呼,hu1,113
登,deng1,113
惊,jing1,113
历,li4,113
枪,qiang1,113
近,jin4,112
圆,yuan2,112
称,chen4,112
岩,yan2,112
举,ju3,111
齐,qi2,111
何,he2,111
办,ban4,111
察,cha2,111
害,hai4,111
便,bian4,111
规,gui1,111
使,shi3,111
皇,huang2,110
画,hua4,110
折,zhe2,110
备,bei4,110
专,zhuan1,110
镜,jing4,110
竹,zhu2,109
味,wei4,109
友,you3,109
昌,chang1,109
诺,nuo4,109
蛋,dan4,109
莱,lai2,108
退,tui4,108
端,duan1,108
虚,xu1,108
绿,lu:4,108
丰,feng1,108
七,qi1,108
从,cong2,107
省,sheng3,107
舞,wu3,107
康,kang1,107
羊,yang2,107
模,mo2,107
送,song4,107
育,yu4,107
第,di4,106
丽,li4,106
站,zhan4,106
那,na4,106
胜,sheng4,105
氏,shi4,105
样,yang4,105
顿,dun4,104
桥,qiao2,104
配,pei4,104
齿,chi3,104
楼,lou2,104
考,kao3,103
景,jing3,103
销,xiao1,103
隐,yin3,103
粉,fen3,103
饭,fan4,103
众,zhong4,103
遗,yi2,103
少,"shao3,shao4",102
注,zhu4,102
置,"zhi4,zhi5",102
曼,man4,101
坐,zuo4,101
炎,yan2,101
纪,ji4,101
短,duan3,101
警,jing3,101
由,you2,101
架,jia4,100
设,she4,100
宗,zong1,100
九,jiu3,100
痛,tong4,100
伦,lun2,100
越,yue4,100
店,dian4,100
